Application_ID,Customer_ID,Broker_ID,Beneficiary_ID,Project_Value,Guarantee_Amount,Submission_Date,Decision_Date,Manual_Underwriting_Days,SLA_Breached
APP00000,CUS0172,BRK015,BEN046,642052759.94,98373818.72,2025-10-19,2025-11-07,19,Yes
APP00001,CUS0180,BRK023,BEN034,488828004.93,183421428.24,2023-12-11,2024-01-05,25,Yes
APP00002,CUS0030,BRK002,BEN042,49465879.8,1773572.98,2026-01-15,2026-02-06,22,Yes
APP00003,CUS0118,BRK004,BEN000,219500952.78,91473926.96,2023-10-09,2023-11-06,28,Yes
APP00004,CUS0247,,BEN001,7605744.64,110552890.4,2023-05-04,2023-05-25,21,Yes
APP00005,CUS0271,,BEN034,977501868.88,3919948.22,2023-01-25,2023-01-27,2,No
APP00006,CUS0091,BRK003,BEN033,149748588.25,38790445.37,2025-05-31,2025-06-27,27,Yes
APP00007,CUS0181,BRK012,BEN005,373678531.88,81502468.27,2025-12-14,2025-12-24,10,No
APP00008,CUS0115,BRK002,BEN041,991683030.58,130153943.13,2026-03-03,2026-03-12,9,No
APP00009,CUS0207,BRK017,BEN030,57058824.19,2385309.44,2023-03-06,2023-03-10,4,No
APP00010,CUS0255,,BEN041,784591934.48,113388397.28,2023-12-17,2023-12-21,4,No
APP00011,CUS0270,,BEN014,212205638.83,173689319.67,2023-07-15,2023-08-14,30,Yes
APP00012,CUS0138,BRK002,BEN043,925659225.27,179912674.35,2026-03-06,2026-03-23,17,Yes
APP00013,CUS0016,BRK010,BEN001,961507720.69,117613702.76,2026-02-28,2026-03-23,23,Yes
APP00014,CUS0153,BRK007,BEN036,834815909.53,78136743.17,2025-03-26,2025-03-30,4,No
APP00015,CUS0196,,BEN008,790707587.15,138017452.97,2026-01-12,2026-01-24,12,No
APP00016,CUS0177,BRK013,BEN014,838835982.96,68448252.92,2023-06-10,2023-06-28,18,Yes
APP00017,CUS0167,BRK008,BEN028,491112852.65,71484333.94,2025-03-23,2025-04-18,26,Yes
APP00018,CUS0095,,BEN042,380692640.82,154547397.12,2025-02-07,2025-02-22,15,Yes
APP00019,CUS0126,,BEN005,268704058.86,76309998.62,2024-08-27,2024-09-23,27,Yes
APP00020,CUS0199,BRK003,BEN005,6190027.15,61999357.3,2023-11-12,2023-12-07,25,Yes
APP00021,CUS0138,BRK002,BEN011,431548536.46,111618513.93,2025-01-07,2025-02-02,26,Yes
APP00022,CUS0052,BRK011,BEN035,93971196.2,119809737.66,2025-11-15,2025-11-30,15,Yes
APP00023,CUS0197,BRK013,BEN024,779389936.52,145106346.88,2024-10-26,2024-11-24,29,Yes
APP00024,CUS0124,BRK005,BEN043,381351291.47,28198591.76,2026-02-19,2026-03-21,30,Yes
