Customer_ID,Revenue,Net_Profit,Debt_to_Equity,Current_Ratio,Audit_Status
CUS0000,735126327.49,140679973.20877883,0.88,2.12,Qualified
CUS0001,467549402.78,73140459.44760185,1.82,1.14,Clean
CUS0002,831577363.8,-23562142.113898534,2.66,0.99,Qualified
CUS0003,572000396.45,66950997.67703536,1.08,1.49,Qualified
CUS0004,185930657.87,563362.929301177,2.41,1.18,Qualified
CUS0005,558012072.78,44170457.2570213,0.65,0.98,Qualified
CUS0006,491134957.61,68533543.35687788,2.1,1.79,Qualified
CUS0007,450933676.84,-20602792.257333152,0.95,1.31,Clean
CUS0008,309674999.98,29539556.470042426,1.47,1.56,Qualified
CUS0009,996648306.64,87303519.50977987,1.12,1.41,Qualified
CUS0010,255146657.82,-5061096.455783518,0.66,0.74,Clean
CUS0011,195583268.15,26335514.593519732,0.9,1.68,Qualified
CUS0012,980608077.31,155090120.75348204,0.96,1.22,Qualified
CUS0013,19077625.42,1593626.0181816856,0.9,2.45,Qualified
CUS0014,698930305.95,-12881374.135342102,2.62,1.48,Clean
CUS0015,576193898.53,38806218.98789559,1.38,0.87,Clean
CUS0016,256215998.54,42386002.534721844,0.43,0.63,Qualified
CUS0017,78711759.4,8450606.79024215,0.26,0.8,Qualified
CUS0018,89755003.85,1081344.8426047876,1.72,1.33,Clean
CUS0019,776815072.0,35030092.342062406,2.73,1.09,Qualified
CUS0020,308853343.1,32508923.912392538,1.87,1.98,Clean
CUS0021,627387455.25,10139542.009367604,0.34,0.98,Clean
CUS0022,160749952.37,8379797.468351824,2.1,1.44,Clean
CUS0023,235318853.38,29824066.150360115,2.14,1.41,Clean
CUS0024,924291489.26,135831110.54451856,1.91,1.82,Clean
CUS0025,428013271.27,36869317.71712184,1.98,2.32,Clean
CUS0026,76052787.67,-647916.7189455156,0.99,2.0,Qualified
CUS0027,441957681.43,29688282.987049893,0.98,1.31,Qualified
CUS0028,502969816.23,36942531.8708124,0.33,0.58,Qualified
CUS0029,735861253.67,74269306.48753451,0.18,0.96,Clean
CUS0030,999574554.79,118020163.59135655,0.88,0.58,Clean
CUS0031,473148319.14,53407739.00032707,2.76,0.86,Qualified
CUS0032,636610795.86,46428948.77642949,0.36,1.2,Qualified
CUS0033,324452964.68,-7738212.569500856,0.57,1.32,Qualified
CUS0034,291776706.38,54357529.14735195,2.46,1.6,Qualified
CUS0035,92619493.81,1213288.7626232298,0.44,2.05,Clean
CUS0036,659372084.55,56474163.116195194,1.3,0.88,Qualified
CUS0037,624520703.24,46603780.55300343,1.38,0.6,Qualified
CUS0038,551473540.89,100323068.50802244,1.37,1.9,Clean
CUS0039,33725095.23,3625635.5607458446,2.42,1.92,Qualified
CUS0040,553084811.97,48706226.08566287,0.37,2.48,Clean
CUS0041,464140654.71,-9576828.899327572,2.51,1.5,Qualified
CUS0042,511327654.99,9386045.063570362,2.52,2.46,Clean
CUS0043,459502540.37,-6359289.027686328,0.65,1.7,Clean
CUS0044,864706799.76,16482911.921064656,2.39,1.33,Qualified
CUS0045,821446725.82,17011952.896983914,0.97,1.67,Qualified
CUS0046,865934291.73,53373460.54318413,1.5,1.16,Qualified
CUS0047,458067893.78,13945573.58238114,0.65,1.89,Qualified
CUS0048,237394633.83,34157792.47976703,0.23,1.99,Qualified
CUS0049,389148358.73,45110936.73883538,2.48,2.46,Qualified
CUS0050,965000316.18,-17793093.238348585,2.9,1.16,Clean
CUS0051,874819422.18,52556134.89446241,1.63,1.41,Clean
CUS0052,412928726.65,46948068.50650052,0.55,1.44,Qualified
CUS0053,341868427.88,42110036.632035956,1.98,2.2,Qualified
CUS0054,954368894.66,101830965.17791218,2.67,1.48,Clean
CUS0055,619372164.29,5383930.18074713,2.08,1.07,Clean
CUS0056,748032534.9,43754568.30923497,0.39,1.77,Clean
CUS0057,446460158.9,55137959.40936306,2.72,0.59,Clean
CUS0058,296900937.09,12977620.849031946,0.52,1.56,Clean
CUS0059,174133730.82,-5268923.161718282,2.63,1.74,Clean
CUS0060,500178916.11,47911779.57734038,0.77,1.78,Qualified
CUS0061,259050074.62,-12343902.401094832,2.43,2.3,Clean
CUS0062,78492590.78,14623868.931899661,2.96,1.1,Qualified
CUS0063,691861944.9,44423731.218076706,0.98,2.5,Qualified
CUS0064,111120001.09,5038300.238350705,1.14,1.09,Qualified
CUS0065,26829899.87,4225961.172297993,1.25,0.52,Clean
CUS0066,911063868.95,124171662.99727513,2.52,2.31,Clean
CUS0067,609029673.17,23191995.487331204,1.95,1.74,Clean
CUS0068,630106863.17,110804875.37889418,1.97,1.12,Qualified
CUS0069,38197708.59,1574330.3342523926,0.48,2.32,Qualified
CUS0070,748743460.61,-4559834.4889364205,0.48,1.58,Qualified
CUS0071,533198111.83,95107476.90223505,2.51,1.01,Qualified
CUS0072,967547155.79,23013459.636145834,2.62,2.11,Qualified
CUS0073,963078826.4,-14263916.115141835,2.9,2.22,Qualified
CUS0074,967433398.56,146224569.79554892,1.16,2.08,Clean
CUS0075,268136285.46,-5122158.072885855,1.17,2.0,Qualified
CUS0076,586637291.19,91283299.89536628,2.83,0.72,Clean
CUS0077,474119483.64,49728835.99148302,2.84,1.16,Clean
CUS0078,649414118.74,70689363.63675217,1.45,1.9,Qualified
CUS0079,121092557.04,-4681837.527194982,0.21,2.49,Clean
CUS0080,101706038.63,17474605.445506737,0.49,1.41,Qualified
CUS0081,589403643.82,77594864.54273875,2.67,1.81,Qualified
CUS0082,617573952.98,114104980.81369247,0.91,1.88,Clean
CUS0083,446166170.63,83718081.4947901,2.58,0.7,Qualified
CUS0084,546743532.17,106320093.00616482,1.14,1.3,Clean
CUS0085,968365841.56,181329115.57824594,2.49,0.68,Clean
CUS0086,643495944.9,63890453.6210617,0.16,2.07,Clean
CUS0087,988876799.42,145112256.20855302,0.7,2.16,Clean
CUS0088,588451168.16,90187935.72116439,0.78,2.05,Clean
CUS0089,280888471.75,55056115.94092972,2.96,1.58,Clean
CUS0090,114376716.15,19056530.24312731,0.48,1.22,Clean
CUS0091,590908657.44,-27214138.154367946,0.87,0.75,Qualified
CUS0092,528455098.96,72089899.22928144,1.48,2.06,Clean
CUS0093,454745392.81,2449913.111848207,1.88,1.95,Qualified
CUS0094,460752309.49,88006707.0960761,0.28,1.46,Qualified
CUS0095,429142251.18,-9874366.901486179,2.17,1.39,Clean
CUS0096,325501260.65,-4204351.220128504,0.47,1.75,Qualified
CUS0097,383999876.82,38149605.8614519,0.96,1.51,Qualified
CUS0098,103682569.37,13006444.842960194,2.57,1.8,Clean
CUS0099,432919591.96,74472021.11764945,1.3,2.15,Qualified
CUS0100,418909702.01,-10987389.951418681,1.34,1.83,Qualified
CUS0101,953824555.03,116085464.38338321,1.48,0.68,Clean
CUS0102,97763951.2,-2528067.4417457115,2.24,2.12,Clean
CUS0103,588532757.33,53201362.30995532,1.06,0.74,Qualified
CUS0104,874239335.37,161981220.9920571,1.33,2.33,Clean
CUS0105,968556632.18,96954962.36186494,1.12,1.66,Clean
CUS0106,158956524.98,11213961.451713502,2.56,1.2,Qualified
CUS0107,119310886.96,2343510.7799100266,0.76,1.36,Clean
CUS0108,610949940.98,69927990.43118045,2.11,0.56,Qualified
CUS0109,704185279.0,19186353.377604615,1.09,0.51,Clean
CUS0110,568489489.29,28535947.294428065,0.51,1.77,Clean
CUS0111,96298894.64,7956279.403877542,1.19,1.41,Clean
CUS0112,373202827.01,48665272.4296456,2.35,1.64,Clean
CUS0113,883925473.6,-9816013.730136348,2.29,0.6,Clean
CUS0114,275742329.33,31844012.790651314,1.51,1.38,Qualified
CUS0115,219491120.51,17139310.161860898,1.1,0.72,Qualified
CUS0116,529299436.61,14346580.756117214,0.74,2.47,Clean
CUS0117,12648650.47,320704.5152654001,0.71,0.77,Qualified
CUS0118,292999895.56,-5861144.734359742,1.54,1.36,Clean
CUS0119,383306408.49,48265105.756707415,1.55,2.17,Qualified
CUS0120,76715119.11,12691832.96382901,0.22,0.54,Clean
CUS0121,862799463.54,81051200.57599461,1.76,1.92,Qualified
CUS0122,293067629.56,15022083.053686066,2.9,0.84,Qualified
CUS0123,832865783.51,149867899.5577216,0.36,2.19,Clean
CUS0124,438498144.31,21974218.12047114,0.33,2.24,Qualified
CUS0125,225464198.6,32642586.534893785,0.32,1.77,Clean
CUS0126,906393117.92,33848178.15290962,2.21,2.14,Clean
CUS0127,240087504.7,-3214518.4989915565,0.67,1.7,Clean
CUS0128,181260398.3,25958668.20560168,1.53,2.01,Qualified
CUS0129,682727810.92,116413311.22317874,1.96,2.47,Qualified
CUS0130,864925640.46,92377822.31961139,0.54,0.64,Qualified
CUS0131,633228194.43,94403191.50352,1.82,1.2,Clean
CUS0132,313855811.35,19766157.520522732,0.26,2.16,Clean
CUS0133,646443137.23,125631138.23865257,0.36,1.69,Qualified
CUS0134,465398100.63,41224541.5607401,2.4,2.29,Qualified
CUS0135,909504706.79,84505876.40992665,0.65,1.71,Clean
CUS0136,957933747.07,59996135.13661312,2.45,2.17,Clean
CUS0137,507026256.49,-3478338.1021076124,0.82,1.38,Qualified
CUS0138,526448210.4,53935330.69270419,1.16,2.34,Qualified
CUS0139,411725550.26,14242322.41779742,1.83,2.08,Qualified
CUS0140,70582295.01,-1861503.0835725092,2.07,1.07,Clean
CUS0141,336695225.88,32216641.829219025,0.51,1.2,Qualified
CUS0142,133306899.98,16957771.265045993,0.35,1.62,Qualified
CUS0143,814118859.9,95682656.89599895,2.5,1.98,Clean
CUS0144,647794696.63,36180364.82420945,1.15,1.23,Clean
CUS0145,951413467.03,33711515.46797469,2.32,0.88,Clean
CUS0146,159170447.08,3811817.9117747387,2.39,1.52,Clean
CUS0147,663619591.18,112216873.79798026,1.89,1.69,Clean
CUS0148,166435976.03,26269632.680442568,2.34,2.12,Clean
CUS0149,722577082.82,-28236067.357826006,1.16,1.94,Qualified
CUS0150,612542445.02,84590758.72120902,2.37,0.97,Clean
CUS0151,312920557.08,47612730.198478736,1.46,2.17,Qualified
CUS0152,679915290.94,62963452.40220714,1.38,2.04,Qualified
CUS0153,505392158.03,27627366.77439253,0.57,0.9,Clean
CUS0154,873636910.46,-32285294.995661337,1.49,1.24,Clean
CUS0155,712843972.23,56298525.67191501,0.46,0.67,Clean
CUS0156,276427343.09,48741480.35318387,0.53,1.37,Clean
CUS0157,817619739.58,139941704.3240079,2.8,1.33,Qualified
CUS0158,504497079.12,4512483.440160343,2.98,1.25,Clean
CUS0159,322091451.07,-8126115.725423465,2.17,1.17,Clean
CUS0160,141911589.79,3082298.3481807346,2.51,1.89,Clean
CUS0161,760046948.99,51134082.771710984,1.88,2.31,Clean
CUS0162,259644308.79,41216138.75508248,1.69,1.95,Qualified
CUS0163,115630926.02,2546816.7631248804,0.97,0.6,Qualified
CUS0164,640756973.51,67729705.0345506,0.28,2.17,Qualified
CUS0165,598755347.6,-27477578.624257818,1.59,0.98,Clean
CUS0166,294815627.84,-14625483.721910575,1.12,1.64,Clean
CUS0167,666049445.23,-19046690.45569703,2.93,0.64,Clean
CUS0168,393501463.9,26574637.176526286,1.94,2.46,Qualified
CUS0169,748580008.6,29399333.85810152,0.3,0.98,Clean
CUS0170,772643867.24,103377235.41047482,1.06,0.59,Qualified
CUS0171,814441321.23,-5072111.069249816,2.36,1.43,Qualified
CUS0172,633577168.52,96857742.45538755,0.28,2.05,Qualified
CUS0173,41798871.25,16625.42618523318,2.39,2.27,Qualified
CUS0174,933704125.05,73618739.56500009,2.97,1.59,Qualified
CUS0175,41437667.68,4629628.5888329325,0.93,2.22,Clean
CUS0176,866469285.69,28577172.19343022,0.46,1.24,Qualified
CUS0177,744591166.99,129305235.75089835,1.22,2.45,Qualified
CUS0178,693608148.66,29018298.04811131,2.41,1.03,Clean
CUS0179,728445917.72,-22048782.04625818,1.85,2.14,Qualified
CUS0180,324605371.07,-9732568.905832585,2.02,1.11,Qualified
CUS0181,170811548.21,10415592.049318142,1.4,1.95,Qualified
CUS0182,616777224.79,36226488.026331946,1.95,2.08,Clean
CUS0183,79665959.16,8713713.993749699,1.15,2.1,Clean
CUS0184,953025449.3,-13633155.71824148,1.86,2.06,Clean
CUS0185,130598874.18,1175239.0396447056,1.97,1.22,Clean
CUS0186,607069354.71,72705973.43911499,2.85,1.24,Clean
CUS0187,576052169.44,47446519.87560627,1.25,1.8,Clean
CUS0188,960717452.0,-41812022.898048215,0.64,1.54,Clean
CUS0189,265467793.2,4001248.124260798,1.39,2.49,Qualified
CUS0190,695510737.84,138863734.05251297,0.68,0.77,Clean
CUS0191,454782471.82,79436744.15744092,1.39,0.68,Qualified
CUS0192,669500591.54,85284414.33482344,1.69,1.08,Qualified
CUS0193,852105240.5,109028804.91503885,2.79,1.78,Qualified
CUS0194,511211966.45,-10050113.494035568,0.68,0.78,Qualified
CUS0195,31152606.67,2757172.646924062,1.17,2.11,Clean
CUS0196,613888620.81,-17462755.259556293,1.0,2.5,Qualified
CUS0197,528067176.56,75139279.27860217,2.49,0.65,Qualified
CUS0198,644126896.44,40253824.02013998,2.07,1.19,Clean
CUS0199,768942729.17,-13642397.778195761,1.56,2.24,Clean
CUS0200,520511622.26,13549508.67344897,0.57,2.37,Clean
CUS0201,349292966.93,64698143.88937586,2.7,2.19,Qualified
CUS0202,200320409.89,37878166.98756546,0.9,1.75,Clean
CUS0203,505060279.02,-3960190.0536284735,2.83,0.81,Qualified
CUS0204,843317354.09,76661349.67400172,2.49,0.56,Clean
CUS0205,948804119.7,135447093.98826036,0.87,0.92,Qualified
CUS0206,620017884.19,-26306444.519687105,2.68,1.59,Qualified
CUS0207,485530094.08,73398574.1013566,2.09,1.09,Clean
CUS0208,690170503.81,-7232909.7507511135,1.31,1.43,Qualified
CUS0209,608626961.51,17130186.10896568,2.18,1.97,Qualified
CUS0210,975497257.28,-16884357.31789655,1.17,1.62,Qualified
CUS0211,245529171.63,-4755782.870522283,1.4,0.78,Clean
CUS0212,293760944.95,13524007.275454238,1.88,1.0,Clean
CUS0213,814410457.21,149393730.82525182,2.19,0.88,Clean
