Application_ID,Approved,Claim_Occurred,Claim_Amount,Recovery_Amount,Loss_Amount
APP00000,Yes,No,0.0,0.0,0.0
APP00001,Yes,No,0.0,0.0,0.0
APP00002,Yes,Yes,328077.93,133543.08224124057,194534.84775875942
APP00003,Yes,No,0.0,0.0,0.0
APP00004,Yes,No,0.0,0.0,0.0
APP00005,No,No,0.0,0.0,0.0
APP00006,Yes,No,0.0,0.0,0.0
APP00007,Yes,No,0.0,0.0,0.0
APP00008,No,No,0.0,0.0,0.0
APP00009,Yes,No,0.0,0.0,0.0
APP00010,Yes,No,0.0,0.0,0.0
APP00011,Yes,No,0.0,0.0,0.0
APP00012,No,No,0.0,0.0,0.0
APP00013,No,No,0.0,0.0,0.0
APP00014,Yes,No,0.0,0.0,0.0
APP00015,No,No,0.0,0.0,0.0
APP00016,Yes,No,0.0,0.0,0.0
APP00017,Yes,No,0.0,0.0,0.0
APP00018,Yes,No,0.0,0.0,0.0
APP00019,Yes,No,0.0,0.0,0.0
APP00020,No,No,0.0,0.0,0.0
APP00021,No,No,0.0,0.0,0.0
APP00022,Yes,No,0.0,0.0,0.0
APP00023,No,No,0.0,0.0,0.0
APP00024,Yes,No,0.0,0.0,0.0
APP00025,No,No,0.0,0.0,0.0
APP00026,Yes,Yes,3355806.95,1272609.1669609258,2083197.7830390744
APP00027,No,No,0.0,0.0,0.0
APP00028,Yes,No,0.0,0.0,0.0
APP00029,Yes,Yes,2852679.84,1325761.9157554298,1526917.92424457
APP00030,No,No,0.0,0.0,0.0
APP00031,Yes,No,0.0,0.0,0.0
APP00032,No,No,0.0,0.0,0.0
APP00033,Yes,No,0.0,0.0,0.0
APP00034,Yes,No,0.0,0.0,0.0
APP00035,Yes,No,0.0,0.0,0.0
APP00036,Yes,No,0.0,0.0,0.0
APP00037,Yes,No,0.0,0.0,0.0
APP00038,No,No,0.0,0.0,0.0
APP00039,No,No,0.0,0.0,0.0
APP00040,No,No,0.0,0.0,0.0
APP00041,Yes,No,0.0,0.0,0.0
APP00042,Yes,No,0.0,0.0,0.0
APP00043,Yes,No,0.0,0.0,0.0
APP00044,Yes,No,0.0,0.0,0.0
APP00045,Yes,No,0.0,0.0,0.0
APP00046,No,No,0.0,0.0,0.0
APP00047,Yes,No,0.0,0.0,0.0
APP00048,Yes,Yes,202920.67,33092.590292372166,169828.07970762785
APP00049,Yes,No,0.0,0.0,0.0
APP00050,Yes,No,0.0,0.0,0.0
APP00051,Yes,No,0.0,0.0,0.0
APP00052,No,No,0.0,0.0,0.0
APP00053,Yes,No,0.0,0.0,0.0
APP00054,No,No,0.0,0.0,0.0
APP00055,Yes,No,0.0,0.0,0.0
APP00056,Yes,No,0.0,0.0,0.0
APP00057,Yes,Yes,8632759.5,4763737.083942714,3869022.416057286
APP00058,No,No,0.0,0.0,0.0
APP00059,Yes,No,0.0,0.0,0.0
APP00060,Yes,No,0.0,0.0,0.0
APP00061,No,No,0.0,0.0,0.0
APP00062,No,No,0.0,0.0,0.0
APP00063,Yes,No,0.0,0.0,0.0
APP00064,Yes,No,0.0,0.0,0.0
APP00065,No,No,0.0,0.0,0.0
APP00066,Yes,No,0.0,0.0,0.0
APP00067,Yes,No,0.0,0.0,0.0
APP00068,Yes,Yes,2165748.43,983929.5285196239,1181818.9014803763
APP00069,Yes,No,0.0,0.0,0.0
APP00070,Yes,No,0.0,0.0,0.0
APP00071,Yes,No,0.0,0.0,0.0
APP00072,Yes,No,0.0,0.0,0.0
APP00073,Yes,No,0.0,0.0,0.0
APP00074,Yes,No,0.0,0.0,0.0
APP00075,No,No,0.0,0.0,0.0
APP00076,Yes,No,0.0,0.0,0.0
