Application_ID,Capital_Score,Capability_Score,Credibility_Score,Character_Score,Credit_Score,Site_Visit,Committee_Decision,Risk_Score
APP00000,2,2,2,2,543,Yes,Decline,58
APP00001,5,2,4,3,678,Yes,Decline,60
APP00002,1,3,3,2,681,Yes,Approve,75
APP00003,5,3,1,1,714,No,Decline,50
APP00004,2,4,3,2,304,No,Approve,89
APP00005,5,3,3,4,596,No,Approve,74
APP00006,5,2,5,4,646,No,Approve,88
APP00007,4,1,2,5,419,Yes,Approve,86
APP00008,5,2,4,3,394,Yes,Approve,65
APP00009,2,5,5,2,584,Yes,Approve,78
APP00010,5,4,1,5,703,Yes,Decline,45
APP00011,5,5,5,1,669,Yes,Decline,60
APP00012,4,3,4,3,312,Yes,Approve,85
APP00013,3,4,5,1,520,No,Approve,62
APP00014,4,4,3,2,734,No,Approve,68
APP00015,2,5,5,1,447,Yes,Approve,66
APP00016,5,3,1,5,684,Yes,Approve,70
APP00017,3,4,2,5,773,No,Approve,66
APP00018,2,2,2,4,596,Yes,Approve,88
APP00019,3,5,3,4,774,Yes,Decline,42
APP00020,1,2,3,3,783,Yes,Approve,90
APP00021,3,4,2,4,550,Yes,Approve,82
APP00022,3,4,1,5,670,Yes,Approve,88
APP00023,4,3,4,1,682,Yes,Approve,76
APP00024,1,3,2,5,359,Yes,Approve,76
APP00025,2,3,2,1,579,Yes,Approve,69
APP00026,3,1,3,3,842,No,Approve,80
APP00027,5,2,2,1,471,Yes,Decline,44
APP00028,3,3,3,1,847,Yes,Decline,60
APP00029,1,2,5,3,681,No,Decline,49
APP00030,3,2,1,2,458,Yes,Approve,66
APP00031,5,5,5,5,416,Yes,Decline,52
APP00032,1,2,1,4,656,Yes,Decline,44
APP00033,2,4,5,5,650,Yes,Approve,63
APP00034,1,1,2,2,445,No,Decline,59
APP00035,2,2,2,1,735,No,Decline,59
APP00036,1,1,1,4,741,Yes,Approve,90
APP00037,1,5,5,1,780,Yes,Decline,46
APP00038,1,1,3,1,398,No,Decline,56
APP00039,2,5,2,2,659,Yes,Approve,78
APP00040,3,5,3,3,464,No,Decline,49
APP00041,5,2,5,5,369,Yes,Approve,89
APP00042,1,5,2,2,588,Yes,Approve,77
APP00043,5,1,1,2,816,No,Approve,88
APP00044,3,5,2,4,409,Yes,Approve,70
APP00045,4,4,2,5,533,Yes,Approve,62
APP00046,3,1,4,1,832,Yes,Approve,88
APP00047,3,3,5,1,384,Yes,Approve,88
APP00048,4,3,4,5,619,No,Decline,47
APP00049,2,5,4,3,738,Yes,Approve,68
APP00050,4,3,2,1,803,No,Decline,44
APP00051,4,5,1,1,446,Yes,Approve,65
APP00052,5,1,2,1,672,No,Approve,84
APP00053,2,5,4,1,538,No,Approve,61
APP00054,4,3,5,5,579,No,Approve,86
APP00055,4,3,4,5,714,No,Approve,81
APP00056,3,2,4,1,425,Yes,Approve,72
APP00057,2,2,1,1,354,No,Approve,71
